DateTime,AddedIPs,RemovedIPs
1528333205,0,0
1528412406,0,1
1528416006,1,0
1528419606,0,1
1528434007,1,0
1528441207,1,0
1528448406,1,0
1528506005,1,0
1528516806,1,0
1528542007,1,0
1528560006,0,1
1528570807,1,0
1528617607,1,0
1528621207,1,0
1528660806,1,0
1528671607,1,0
1528765207,1,0
1528801207,1,0
1528804806,0,1
1528822806,0,1
1528887606,1,0
1528894807,0,1
1528909206,0,1
1528966807,1,0
1529028006,0,1
1529053206,0,1
1529071209,1,0
1529110806,0,1
1529150405,0,1
1529172006,1,0
1529182806,0,1
1529200807,0,1
1529258406,0,1
1529276406,0,1
1529283606,0,1
1529366407,0,1
1529377206,1,0
1529409606,0,1
1529431205,0,1
1529492407,0,1
1529496006,1,0
1529524806,1,0
1529550007,1,0
1529560806,0,1
1529571606,0,1
1529643607,1,0
1529676007,0,1
1529683207,1,0
1529737208,1,0
1529895606,1,0
1529953208,1,0
1529964008,1,0
1529967606,1,0
1530028808,0,1
1530068407,1,0
1530086407,1,0
1530090006,0,1
1530129606,0,1
1530133207,1,0
1530140408,1,0
1530176407,0,1
1530205206,1,1
1530226807,1,0
1530252008,0,1
1530259207,1,0
1530288007,0,1
1530298806,0,1
1530378007,1,1
1530396007,0,1
1530442807,1,0
1530500407,0,1
1530536408,1,0
1530568806,0,1
1530572407,0,1
1530615608,1,0
1530691208,1,1
1530723609,0,1
1530738008,0,1
1530752408,0,1
1530792007,1,0
1530810006,0,1
1530813609,0,1
1530874808,1,0
1530903608,1,0
1530910808,0,1
1530918010,0,1
1531022407,1,0
1531105208,1,0
1531148407,0,1
1531198808,0,1
1531220407,0,1
1531321210,1,0
1531404007,0,1
1531418408,1,0
1531486808,0,1
1531508408,0,1
1531566008,1,0
1531580407,1,0
1531692008,0,1
1531710008,0,1
1531962010,0,1
1531998008,1,0
1532062806,1,0
1532084409,1,0
1532120408,0,1
1532282406,0,1
1532311209,0,1
1532336406,1,0
1532347207,1,0
1532404809,1,0
1532440807,1,0
1532451609,1,0
1532462409,1,0
1532628008,1,0
1532656808,1,0
1532667609,0,1
1532682016,1,0
1532728806,1,0
1532732406,1,0
1532790006,1,0
1532847607,0,1
1532926807,1,0
1532941207,1,0
1532952007,0,1
1533009606,0,1
1533024007,0,1
1533074406,0,1
1533099606,0,1
1533117606,0,1
1533200406,2,0
1533232806,1,0
1533250807,1,0
1533258007,0,1
1533333606,0,1
1533337206,0,1
1533358807,0,1
1533398406,0,1
1533402006,1,0
1533423606,1,0
1533452406,1,0
1533488406,0,1
1533531606,0,1
1533553206,1,0
1533556806,1,1
1533560406,1,0
1533733207,1,0
1533751207,1,0
1533780006,1,0
1533834007,1,1
1533844806,0,2
1533859207,0,1
1533963606,1,0
1533978006,1,0
1534006807,0,1
1534028407,0,1
1534046406,1,0
1534053607,1,0
1534057206,0,1
1534150806,1,0
1534158006,1,0
1534161606,1,0
1534165207,0,1
1534226407,0,1
1534244406,1,0
1534363207,0,1
1534388406,0,1
1534410006,0,1
1534428006,0,1
1534431607,1,0
1534460406,1,0
1534471207,0,1
1534482006,0,1
1534492807,0,1
1534582806,0,1
1534600806,1,0
1534633206,0,1
1534651206,0,1
1534658405,0,1
1534770007,0,1
1534849206,0,1
1534892410,3,0
1534942806,0,1
1534968008,1,0
1535061607,1,0
1535065207,0,1
