DateTime,Entries,UniqueIPs
1528935401,229,229
1528957452,226,226
1528979297,233,233
1529001157,232,232
1529023228,233,233
1529045069,234,234
1529067149,230,230
1529089300,228,228
1529111325,223,223
1529133370,219,219
1529155230,215,215
1529177295,216,216
1529200410,218,218
1529222511,193,193
1529244520,730,730
1529266574,727,727
1529288417,731,731
1529310272,732,732
1529332244,731,731
1529354186,713,713
1529376030,716,716
1529398347,719,719
1529420190,723,723
1529442071,726,726
1529464121,728,728
1529486173,728,728
1529508025,730,730
1529529874,730,730
1529551951,732,732
1529574022,2392,2392
1529595874,2393,2393
1529617953,2396,2396
1529651079,2400,2400
1529673166,2397,2397
1529695239,2400,2400
1529717291,2400,2400
1529739165,2401,2401
1529761226,2405,2405
1529783316,2404,2404
1529805158,2398,2398
1529827301,2397,2397
1529849321,1934,1934
1529871823,1937,1937
1529893719,1998,1998
1529915565,2003,2003
1529937637,2004,2004
1529959705,2006,2006
1529993060,2004,2004
1530015149,2001,2001
1530037238,1991,1991
1530059302,1990,1990
1530081160,1989,1989
1530103401,1988,1988
1530125320,1985,1985
1530147386,1988,1988
1530169310,1121,1121
1530191563,262,262
1530213625,257,257
1530235624,258,258
1530257552,255,255
1530279637,262,262
1530301505,279,279
1530323600,281,281
1530345699,284,284
1530367706,386,386
1530389557,387,387
1530411646,389,389
1530433695,390,390
1530455543,392,392
1530477397,390,390
1530521736,392,392
1530543708,393,393
1530565817,389,389
1530587790,390,390
1530609861,389,389
1530631710,391,391
1530654136,391,391
1530676114,393,393
1530698192,398,398
1530720283,399,399
1530742351,397,397
1530764425,522,522
1530786284,524,524
1530808344,520,520
1530830194,520,520
1530852274,518,518
1530874129,508,508
1530896331,510,510
1530918266,509,509
1530940123,505,505
1530962201,402,402
1531006108,400,400
1531028209,399,399
1531050253,393,393
1531072486,397,397
1531094528,384,384
1531116768,383,383
1531139089,385,385
1531160949,387,387
1531182986,388,388
1531204827,388,388
1531226682,386,386
1531248762,388,388
1531270907,389,389
1531292914,410,410
1531314992,416,416
1531336832,415,415
1531358889,288,288
1531402821,295,295
1531424727,304,304
1531446744,303,303
1531468911,1441,1441
1531491170,3085,3085
1531513234,3081,3081
1531535362,0,0
1531867165,32053,32053
1531889099,31940,31940
1531911157,28732,28732
1531933244,28624,28624
1531955318,28497,28497
1531977434,28434,28434
1531999723,28381,28381
1532021802,28265,28265
1532043916,28182,28182
1532065955,28105,28105
1532088112,19908,19908
1532110143,19817,19817
1532131986,19741,19741
1532154038,19728,19728
1532175900,19739,19739
1532198057,19507,19507
1532220320,19512,19512
1532242338,19541,19541
1532264495,19513,19513
1532286582,19462,19462
1532308504,19450,19450
1532330435,19515,19515
1532352278,19437,19437
1532374359,16637,16637
1532396420,16638,16638
1532418283,16656,16656
1532440134,16643,16643
1532462191,17416,17416
1532484293,18933,18933
1532506351,18939,18939
1532528443,18915,18915
1532550492,19079,19079
1532572499,19029,19029
1532594421,19030,19030
1532616597,19714,19714
1532638452,19695,19695
1532660493,19681,19681
1532682759,24764,24764
1532704611,27654,27654
1532726699,27672,27672
1532748754,27641,27641
1532770849,27619,27619
1532792695,27590,27590
1532814791,27554,27554
1532836842,27489,27489
1532858940,27457,27457
1532880990,27821,27821
1532902842,27838,27838
1532925166,27819,27819
1532947351,23222,23222
1532969295,23111,23111
1532991408,23100,23100
1533013546,23035,23035
1533035537,23065,23065
1533057382,23071,23071
1533079227,23039,23039
1533101309,21311,21311
1533124335,26288,26288
1533146180,25347,25347
1533168318,25366,25366
1533190349,25363,25363
1533212202,24405,24405
1533234296,24377,24377
1533256351,24426,24426
1533278422,24331,24331
1533300520,16386,16386
1533322380,16402,16402
1533344418,16425,16425
1533366275,16410,16410
1533388663,16441,16441
1533410660,16512,16512
1533432514,16594,16594
1533454975,16592,16592
1533476916,16630,16630
1533498978,16235,16235
1533521106,16220,16220
1533543145,16143,16143
1533565255,16126,16126
1533587332,16112,16112
1533609228,16065,16065
1533631471,15877,15877
1533653531,15773,15773
1533675379,15776,15776
1533697296,15766,15766
1533719327,15914,15914
1533741381,15920,15920
1533763465,15970,15970
1533785544,15927,15927
1533807640,15914,15914
1533829488,15916,15916
1533851531,15901,15901
1533873411,15862,15862
1533895457,23772,23772
1533917507,33889,33889
1533939379,34013,34013
1533961231,34067,34067
1533983081,34036,34036
1534005161,36512,36512
1534027227,36493,36493
1534049073,36445,36445
1534071164,36414,36414
1534093284,36408,36408
1534115543,36408,36408
1534137677,36375,36375
1534159716,36317,36317
1534181809,36292,36292
1534203795,36275,36275
1534225853,36277,36277
1534247788,36265,36265
1534269871,36239,36239
1534291961,36235,36235
1534313804,36126,36126
1534335870,36081,36081
1534357950,36750,36750
1534380768,36786,36786
1534403210,36848,36848
1534425163,36863,36863
1534447221,36923,36923
1534469252,36934,36934
1534491183,37002,37002
1534513214,30427,30427
1534535092,27140,27140
1534557157,27043,27043
1534579301,27030,27030
1534601323,27049,27049
1534623275,24335,24335
1534645227,24489,24489
1534667325,24680,24680
1534689381,24752,24752
1534711549,24778,24778
1534733560,24804,24804
1534755691,24869,24869
1534777584,21493,21493
1534799552,21523,21523
1534821636,21547,21547
1534843477,23178,23178
1534865552,25878,25878
1534887402,25942,25942
1534909462,25949,25949
1534931311,25979,25979
1534953404,26849,26849
1534975500,26921,26921
1534997543,26818,26818
1535019623,26816,26816
1535041511,19352,19352
1535063772,19346,19346
1535085628,19271,19271
152731527300918,493,493
