DateTime,AddedIPs,RemovedIPs
1533522631,1,0
1533523228,2,0
1533523531,2,0
1533524128,1,0
1533524432,1,0
1533524730,2,0
1533525328,1,0
1533525631,1,0
1533527131,1,0
1533528029,3,0
1533528331,1,0
1533529231,2,0
1533529524,1,0
1533529831,4,0
1533531023,2,0
1533531325,1,0
1533531920,1,0
1533532223,1,0
1533532826,1,0
1533533423,3,0
1533534027,3,0
1533534323,1,0
1533534624,1,0
1533535826,1,0
1533536427,1,0
1533536724,1,0
1533537024,1,0
1533540625,2,0
1533541227,2,0
1533541526,1,0
1533541827,1,0
1533542729,1,0
1533543032,7,0
1533543623,2,0
1533543930,1,0
1533544522,2,0
1533544831,1,0
1533545429,1,0
1533545729,1,0
1533546030,1,0
1533546329,2,0
1533546927,2,0
1533547523,2,0
1533547824,1,0
1533548422,3,0
1533549029,1,0
1533549327,1,0
1533550223,2,0
1533550525,1,0
1533550825,1,0
1533551427,1,0
1533552029,3,0
1533552627,2,0
1533553525,1,0
1533554124,1,0
1533555024,1,0
1533555629,1,0
1533556523,1,0
1533557122,1,0
1533557427,1,0
1533558025,3,0
1533558328,1,0
1533558629,1,0
1533559228,1,1
1533560426,2,0
1533560725,2,0
1533561031,2,0
1533562228,1,0
1533563723,1,0
1533564022,1,0
1533564325,1,0
1533564624,1,0
1533565524,1,0
1533567026,3,0
1533567627,2,0
1533568524,4,0
1533569422,3,0
1533569723,1,0
1533570031,1,0
1533571229,1,0
1533571532,2,0
1533571827,16,0
1533572426,1,0
1533572726,2,0
1533573323,1,0
1533573627,2,0
1533574522,3,0
1533575726,24,0
1533576032,1,0
1533576629,2,0
1533577227,2,0
1533578126,2,0
1533579325,2,0
1533579624,1,0
1533580226,3,0
1533580824,3,0
1533582026,1,0
1533582329,3,0
1533582629,1,0
1533583228,1,0
1533583529,1,0
1533585028,3,0
1533585327,1,0
1533585626,1,0
1533585927,2,0
1533586230,1,0
1533587428,1,0
1533588027,1,0
1533588628,1,0
1533589229,3,0
1533589826,1,0
1533590427,1,0
1533590725,1,0
1533591028,1,0
1533592524,1,0
1533593128,1,0
1533594032,5,0
1533594628,12,0
1533597624,6,0
1533598227,1,0
1533598530,1,0
1533598830,3,0
1533599133,1,0
1533599430,1,0
1533600628,17,0
1533601531,2,0
1533602129,1,0
1533602431,2,0
1533604231,2,0
1533605428,1,0
1533605728,1,0
1533606028,2,0
1533606331,2,0
1533606632,1,0
1533607229,1,0
1533607831,1,0
1533608126,3,0
1533608428,0,1
1533608731,0,1
1533609331,1,0
1533609632,2,0
1533610832,2,0
1533611431,1,0
1533611731,2,0
1533612931,1,0
1533613226,1,0
1533613527,1,0
1533614126,1,0
1533615624,3,0
1533615926,2,0
1533616829,3,0
1533617427,3,0
1533618031,4,0
1533618321,1,0
1533618631,1,0
1533618930,2,0
1533619228,1,0
1533620127,1,0
1533620725,1,0
1533621030,1,0
1533622232,1,0
1533622531,1,0
1533622831,1,0
1533623430,2,0
1533624331,2,0
1533624926,1,0
1533625229,1,0
1533625529,1,0
1533626731,3,0
1533628527,1,0
1533629431,4,0
1533629731,2,0
1533630331,1,0
1533630926,1,0
1533631530,2,0
1533631831,3,0
1533632127,1,0
1533632428,1,0
1533632729,1,0
1533633631,5,0
1533634231,3,0
1533634832,1,0
1533635429,2,0
1533635727,2,0
1533636028,2,0
1533636629,2,0
1533637224,2,0
1533637526,1,0
1533637830,3,0
1533638123,2,0
1533639023,1,0
1533639622,1,0
1533640224,2,0
1533640525,2,0
1533642021,1,0
1533643222,2,0
1533643821,4,0
1533644722,2,0
1533645021,1,0
1533645623,2,0
1533645923,2,0
1533646223,1,0
1533646524,2,0
1533647122,3,0
1533648021,1,0
1533649821,1,0
1533650425,1,0
1533650722,1,0
1533651023,2,0
1533655223,6,0
1533655821,2,0
1533656721,1,0
1533657031,2,0
1533657625,1,0
1533658525,16,0
1533658825,3,0
1533659425,1,0
1533660026,1,0
1533660326,1,0
1533660625,1,0
1533661225,1,0
1533662129,1,0
1533662429,1,0
1533662731,1,0
1533663629,2,0
1533664528,3,0
1533668731,262,0
1533675024,99,0
1533676225,0,2
1533680131,2,0
1533687024,16,0
1533715822,6,0
1533727521,0,1
1533744628,18,0
1533773432,22,0
1533802231,28,0
1533831030,14,0
1533852927,1,0
1533859831,13,0
1533888627,16,0
1533908723,1,0
1533917430,21,0
1533939321,2,0
1533946231,22,0
1533975024,11,0
1533978930,1,0
1534003827,15,0
1534032632,21,0
1534061431,11,0
1534083029,1,0
1534090227,15,0
1534112132,4,0
1534119031,24,0
1534140627,2,0
1534148127,15,0
1534151131,0,0
1534161629,0,1
1534176929,21,0
1534182632,0,1
1534205431,12,0
1534224624,3,0
1534226127,1,0
1534234223,9,0
1534291832,22,0
1534320624,13,0
1534349426,14,0
1534378224,9,0
1534391425,8,0
1534407029,6,0
1534422031,1,0
1534435832,18,0
1534464628,15,0
1534493431,12,0
1534522233,19,0
1534551029,20,0
1534580132,5,0
1534608932,10,0
1534637424,15,0
1534666227,7,0
1534695028,10,0
1534704923,0,1
1534723833,13,0
1534752626,4,0
1534781730,18,0
1534803325,1,0
1534810234,10,0
1534839030,19,0
1534867824,19,0
1534896628,22,0
1534912227,1,0
1534925429,12,0
1534930232,1,0
1534935633,8,0
1534936231,1,0
1534936532,255,0
1534939526,1,0
1534954225,21,0
1534954823,1,0
1534955426,1,0
1534983330,12,0
1534990532,1,0
1535011833,11,0
1535016931,0,1
1535036732,1,0
1535040924,13,0
1535069431,18,0
1535079935,1,0
1535091035,1,0
1535098227,7,0
